网游名称,画面,画风,开发商,运营商,题材,模式,收费,评论,类型,开发时间,背景
泰坦陨落OL,3D,写实,NEXON,,科幻,即时,未确定,5,第一人称射击,,"泰坦陨落OL,是款射击网游（尽管原作有多人联机模式，但OL版与其并不相同），玩家在《泰坦陨落OL》中可以驾驶名为“泰坦”的机甲进行战斗。该作UI界面基于系列首部作品《泰坦陨落》设计，机甲则有“阿特拉斯”(Atlas)、“食人魔”(Ogre...          
        <div>
          泰坦陨落OL,是款射击网游（尽管原作有多人联机模式，但OL版与其并不相同），玩家在《泰坦陨落OL》中可以驾驶名为&ldquo;泰坦&rdquo;的机甲进行战斗。该作UI界面基于系列首部作品《泰坦陨落》设计，机甲则有&ldquo;阿特拉斯&rdquo;(Atlas)、&ldquo;食人魔&rdquo;(Ogre)、&ldquo;步行者&rdquo;(Stryder)和&ldquo;毁灭者&rdquo;(Destroyer)四种，融合了《泰坦陨落1》的机制和《泰坦陨落2》中的新泰坦。        </div>
      
      [查看详细]"
幻影突击,3D,写实,Dream execution,完美世界(大陆),现代,即时,道具收费,206,第一人称射击,"游戏于2016年06月入库，
                  共2次测试","《幻影突击》是完美世界首款第一人称射击游戏（FPS），游戏以近未来战争为时代背景，有别于传统枪战，《幻影突击》引入无人机、飞行地雷、无人机枪等目前各国正在研发的概念化武器，让玩家可以体会到先进武器带来的全新战术打击模式。
《幻影突击》目前拥有8个职业...          
        <div>
          《幻影突击》是完美世界首款第一人称射击游戏（FPS），游戏以近未来战争为时代背景，有别于传统枪战，《幻影突击》引入无人机、飞行地雷、无人机枪等目前各国正在研发的概念化武器，让玩家可以体会到先进武器带来的全新战术打击模式。
《幻影突击》目前拥有8个职业，将以往FPS中突击、爆破、医疗、侦察等职业进一步细分，并且每个角色都拥有&ldquo;专有+协作&rdquo;双技能设计，更讲求职业搭配。全新的CQC式（近战格斗术）快节奏、多层次立体空间的地图设计中，还创新性地加入了动态机关系统，每个角落都有意想不到的危险等待玩家。
《幻影突击》未来还将加入PVE模式，但不局限于传统僵尸模式，而是将MMORPG常见的巨型BOSS带入射击游戏，让玩家感受近未来武器与上古BOSS碰撞的穿越快感。        </div>
      
      [查看详细]"
萌兽学院,2.5D,Q版,NGINE STUDIOS,,奇幻,即时,未确定,26,大型角色扮演,,《萌兽学院》（曾用名：兽神学院、Project AX）以拟人化的动物作为玩家的角色，羊、兔子、蛇等都以或英俊或可爱的人形状态出现，共有6种。不同动物有不同的觉醒效果。玩家可以通过卡牌的组合，来形成自己的战斗风格。
光荣使命OL,3D,写实,巨人网络,塔人网络(大陆),现代,即时,道具收费,2850,第一人称射击,"游戏于2011年06月入库，
                  共7次测试","《光荣使命OL》是由南京军区组织开发的我军第一款具有自主知识产权的大型网络军事游戏。这款面向部队广大官兵开发的网络军事游戏，以一名战士的军营生活为背景，以参加代号为“光荣使命”的对抗演习训练为主线，按照一个完整的故事剧情设置游戏关卡，分&ld...          
        <div>
          《光荣使命OL》是由南京军区组织开发的我军第一款具有自主知识产权的大型网络军事游戏。这款面向部队广大官兵开发的网络军事游戏，以一名战士的军营生活为背景，以参加代号为&ldquo;光荣使命&rdquo;的对抗演习训练为主线，按照一个完整的故事剧情设置游戏关卡，分&ldquo;基础训练、单兵任务、班组对抗&rdquo;三个模块，使官兵在文化娱乐中感受浓厚的政治氛围和火热的军营生活，在虚拟的训练和战斗环境中获得知识、锻炼胆识、增长见识，锤炼优良的政治品格、战斗精神和心理素质。        </div>
      
      [查看详细]"
枪神纪,3D,半写实,腾讯,腾讯(大陆),奇幻,即时,道具收费,2003,第三人称射击,"游戏于2011年12月入库，
                  共5次测试",由腾讯旗下琳琅天上工作室开发的神秘TPS网游枪神纪于2011腾讯嘉年华首度曝光。据悉，这款TPS网游强调时尚、动作元素，明确划分了游戏职业角色。
王侯将相,3D,半写实,寅酷网络,方中科技(大陆),玄幻,即时,道具收费,771,大型角色扮演,"游戏于2013年04月入库，
                  共7次测试",《王侯将相》是由寅酷游戏2013年度自主开发的一款3D战国名将搏杀类网游，游戏融合名将养成与史诗战役副本两大系统，串联战国时期诸侯争霸的诸多战役与历史人物，力图为玩家带来最为真实的游戏体验。
猎魔军团,2.5D,半Q版,金山软件,金山软件(大陆),魔幻,即时,未确定,170,大型角色扮演,"游戏于2015年07月入库，
                  共2次测试",《猎魔军团》是由西山居最新研发的冒险网游！游戏采用虚幻3引擎打造，给您带来全新的冒险体验！
QQ炫舞,3D,Q版,永航科技,腾讯(大陆),现代,即时,道具收费,1972,音乐,"游戏于2008年05月入库，
                  共1次测试",《QQ炫舞》是腾讯公司推出一款音乐舞蹈休闲游戏，最新鲜的舞蹈模式，最炫丽的视听享受，最丰富的个性化功能，与QQ融合的交友系统，让你感受完全不同的时尚新体验！炫动你的Q生活，舞出你的新时尚，开始炫舞吧！
御龙在天,3D,半写实,腾讯,腾讯(大陆),历史,即时,道具收费,4224,大型角色扮演,"游戏于2009年10月入库，
                  共9次测试",《御龙在天》是腾讯公司开发运营的3D新游，游戏以英雄辈出的汉末乱世为背景，将三国史诗与时尚中国元素相结合。玩家将以涿县桃源村一位普通青年的身份进入游戏，在乱世的战火中历练、成长，逐渐认识到战争的残酷与和平的重要，确立平定乱世、恢复山河的理想与抱负。
Cabal2,3D,半写实,Estsoft,游艺春秋(大陆),奇幻,即时,未确定,2973,大型角色扮演,,《Cabal2》是《惊天动地》原班人马打造的正统续作，是韩国ESTsoft公司采用CryEngine3引擎开发的大型MMORPG网游。该游戏在继承前作世界观的基础上，强化了前作的动作性，以新的职业和角色的多种成长方式为核心内容，构建了庞大规模的全新世界观。
QQ仙灵,2D,Q版,腾讯,腾讯(大陆),玄幻,回合,道具收费,3872,大型角色扮演,"游戏于2012年02月入库，
                  共7次测试",《QQ仙灵》（曾用研发代号：H2）是腾讯自主研发的首款2D回合制网络游戏。
远征,2.5D,半写实,冰川网络,冰川网络(大陆),玄幻,即时,道具收费,807,大型角色扮演,"游戏于2009年01月入库，
                  共11次测试",《远征2》（远征OL更名远征2）是由深圳冰川网络自主研发的2.5DMMORPG仙侠网游。游戏以第一次封神大战后仙魔之战为背景。游戏内包含了世界文明、五行修炼、三魂系统、国战系统等数十种新颖的游戏系统。
沃土英雄传,2.5D,Q版,Ankama,Ankama(欧美),奇幻,回合,未确定,11,集换卡牌,,"《沃土英雄传》（暂译，原名为KROSMAGA）是一款融合了卡牌、塔防和策略战棋玩法的网游，并继承了《沃土》与《DOFUS》的世界观和画风。玩家在《沃土英雄传》中将以《沃土》世界观中的12众神的身份进入游戏，你将可以把各种熟悉的单位和法术组建成卡组，在一块如同《植...          
        <div>
          《沃土英雄传》（暂译，原名为KROSMAGA）是一款融合了卡牌、塔防和策略战棋玩法的网游，并继承了《沃土》与《DOFUS》的世界观和画风。玩家在《沃土英雄传》中将以《沃土》世界观中的12众神的身份进入游戏，你将可以把各种熟悉的单位和法术组建成卡组，在一块如同《植物大战僵尸》中后院一般的场地上与对手展开拉锯战，还有独特的天赋加点玩法大大增加了游戏性。        </div>
      
      [查看详细]"
十二之天3,3D,半写实,ALT1,信城网(大陆),武侠,即时,道具收费,333,大型角色扮演,"游戏于2008年01月入库，
                  共6次测试",十二之天3，在保留前作世界观的基础上，又增添了全新的内容与玩法。在十二之天3中，天神宝石玩法开放；新版势力战、龙瀑守护战、神庙领域战、大乱斗等新战场上线，并且同步开放势力转换，天神装备合成、宝石镶嵌系统，还有全新PK规则、战场规则等同步上线。
魔幻英雄,2.5D,半Q版,S2 GAMES,欢聚游戏(大陆),魔幻,即时,未确定,369,MOBA,"游戏于2013年08月入库，
                  共6次测试","魔幻英雄（STRIFE）（曾用名：魔幻英雄传、冲突）是由《超神英雄》（Heroes of Newerth）的开发商S2 GAME研发的一款MOBA网游。游戏的对战地图比传统MOBA的更小，分为四个区域，包括沼泽、丛林、岩洞、墓地，具有较高的辨识度。地图上设置有灯塔点，争夺到控制器的玩...          
        <div>
          魔幻英雄（STRIFE）（曾用名：魔幻英雄传、冲突）是由《超神英雄》（Heroes of Newerth）的开发商S2 GAME研发的一款MOBA网游。游戏的对战地图比传统MOBA的更小，分为四个区域，包括沼泽、丛林、岩洞、墓地，具有较高的辨识度。地图上设置有灯塔点，争夺到控制器的玩家可以照亮区域内的迷雾获得视野。        </div>
      
      [查看详细]"
龙剑,3D,写实,网易,网易(大陆),奇幻,即时,道具收费,14274,动作角色扮演,"游戏于2012年03月入库，
                  共3次测试",龙剑（GAME-X）是由网易自主研发的一款3D奇幻MMORPG网游，游戏以龙与剑牵动的传奇命运为线索，通过恢宏多姿的时空交替，展现出多元文明交错融合的幻想世界。
梦幻剑侠,2D,Q版,龙游网络,泥巴网络(大陆),武侠,回合,道具收费,456,大型角色扮演,"游戏于2011年12月入库，
                  共6次测试",《梦幻剑侠》（曾用名：九剑）是一款以明朝中后期的正德年间为时代背景、结合《绝代双骄》、《笑傲江湖》等小说的故事情节的Q版回合制武侠网游。 任务流程呈现出一个内有宦官专权、外有蛮夷横行的乱世武林的景象。
百变球球,3D,Q版,,腾讯(大陆),奇幻,即时,未确定,3,大型角色扮演,,"《百变球球》是一款基于物理模拟的第三人称萌系休闲竞技类端游，玩家操控各种圆滚滚的“球球”角色横冲直撞、精准射击、吸取碎片等，用尽一切可能击败对手，带领队友取得胜利！全新玩法、可爱画面，丰富的竞技地图，乐翻天的策略模式，更有大量的百变造型...          
        <div>
          《百变球球》是一款基于物理模拟的第三人称萌系休闲竞技类端游，玩家操控各种圆滚滚的&ldquo;球球&rdquo;角色横冲直撞、精准射击、吸取碎片等，用尽一切可能击败对手，带领队友取得胜利！全新玩法、可爱画面，丰富的竞技地图，乐翻天的策略模式，更有大量的百变造型与换装体验。        </div>
      
      [查看详细]"
战争仪式,3D,半Q版,Stunlock Studios,Stunlock Studios(欧美),魔幻,即时,一次性付费,8,MOBA,,BATTLERITE 是动感十足的团队竞技场对战游戏，在快节奏的格斗对抗中体验独特的自上而下的射击组合。在考验反应的战斗中挑战好友和网友，释放你心中的战士。
超神英雄,2.5D,半写实,S2 GAMES,腾讯(大陆),奇幻,即时,道具收费,689,MOBA,"游戏于2009年09月入库，
                  共6次测试",《超神英雄》（曾用名：纽沃斯英雄，HON）是由美国S2 Games开发的MOBA网游，继承DOTA玩法。
赤壁之战,2.5D,半写实,珠海仟游,欢聚游戏(大陆),历史,即时,道具收费,3149,大型角色扮演,"游戏于2014年04月入库，
                  共8次测试",《赤壁之战》是由珠海仟游自主研发运营的2.5D国战网游，游戏背景取材于以少胜多的经典战役，职业设定则依照三国名将为原型，核心玩法以PK为主，并集成多种经典战斗模式，更有国战对抗。
敢达前线指挥官,2D,半写实,BANDAI,,科幻,即时,免费,299,策略,"游戏于2015年12月入库，
                  共6次测试",《敢达前线指挥官》是以“机动战士敢达”为世界观制作的一款塔防和策略元素的游戏。具有极高的策略性，简单的操作就能体验激烈的多人PVP战斗是游戏的最大特色。
射雕英雄传OL,3D,半写实,完美世界,完美世界(大陆),武侠,即时,道具收费,2259,大型角色扮演,"游戏于2012年07月入库，
                  共6次测试","《射雕英雄传》（曾用名：射雕ZERO）是由金庸正版授权，《射雕英雄传》改编，完美世界打造的——新金庸·战斗武侠网游。游戏由在“ARK”引擎基础上开发。游戏以“世界无疆”的概念设计场景；突破职业的限定，告别传统意义上的&l...          
        <div>
          《射雕英雄传》（曾用名：射雕ZERO）是由金庸正版授权，《射雕英雄传》改编，完美世界打造的&mdash;&mdash;新金庸&middot;战斗武侠网游。游戏由在&ldquo;ARK&rdquo;引擎基础上开发。游戏以&ldquo;世界无疆&rdquo;的概念设计场景；突破职业的限定，告别传统意义上的&ldquo;铁三角&rdquo;模式，动作表现更自由，作战风格更全面；突破奇遇探索的内容，深层次打造武侠世界的体验。同时，游戏还为不同的用户群体设定了各自最熟悉的操作模式，上手无瓶颈。        </div>
      
      [查看详细]"
海战世界,3D,写实,冰动娱乐,畅游(大陆),历史,即时,道具收费,3066,第三人称射击,"游戏于2014年05月入库，
                  共5次测试",《海战世界》是一款多国团队联合研发的二战纪实3DTPS网游。战列舰、航空母舰、重型巡洋舰、轻型巡洋舰、驱逐舰、潜艇6大舰种对决，历史海军名将悉数登场，还原二战经典战役。 
武林外传,3D,半Q版,完美世界,完美世界(大陆),武侠,即时,道具收费,346,大型角色扮演,"游戏于2006年07月入库，
                  共2次测试","　　《武林外传》取材于当前热播的同名古装情景喜剧，继承完美时空一贯严谨唯美的游戏风格，游戏采用领先技术的3D引擎制作，具有游戏客户端小，电脑配置要求低，画面精美等众多特色。同时，结合《武林外传》电视剧的诸多受观众欢迎的特点，完美时空此次首创“喜...          
        <div>
          　　《武林外传》取材于当前热播的同名古装情景喜剧，继承完美时空一贯严谨唯美的游戏风格，游戏采用领先技术的3D引擎制作，具有游戏客户端小，电脑配置要求低，画面精美等众多特色。同时，结合《武林外传》电视剧的诸多受观众欢迎的特点，完美时空此次首创&ldquo;喜剧网游&rdquo;模式，从游戏背景、任务、系统等各方面突出轻松搞笑的风格，让玩家在游戏时不经意的就被滑稽的对白和任务逗得哈哈大笑。
&nbsp;
　　当然，让玩家高兴的还不仅仅是游戏愉快的氛围，另外一个喜讯是，超级好玩的《武林外传》还将是完美时空第一款永久免费运营的网络游戏产品。从开放内测直到正式运营，玩家都可以免费登陆游戏，自由体验完美时空为玩家在今年夏天准备的一道网游盛宴。
　　考虑到电视剧的众多腐竹也会来到这款免费游戏进行一种全新的体验，在游戏制作时，完美时空还邀请大家所追捧的著名编剧宁财神参与到游戏制作中，通过他的神来之笔为玩家编写制作了数个精彩绝伦的任务。同时电视剧中的那些著名角色都将在游戏中出现并与玩家互动，为大家延续那些隽永的快乐。
　　目前，完美时空同期已经成功运营《完美世界》，这款被誉为&ldquo;中国最美网游&rdquo;的产品，在技术和运营方面得到行业内专家以及玩家的一致好评。此次完美时空投入巨资，联合当前热播电视剧开发的《武林外传》Q版网游，首创&ldquo;喜剧网游&rdquo;模式，正是意欲通过其领先技术为玩家营造一个集各种娱乐形式于一体的娱乐平台，这些娱乐形式包括影视、购物、休闲等等&mdash;&mdash;将休闲娱乐和网络游戏直接结合，必将开拓新一代网游新模式。
　　古装情景喜剧《武林外传》以其诙谐、幽默的对白，出神入化的人物刻画，得到众多观众喜爱，收视率一直很高。该电视剧独到的&ldquo;武林喜剧&rdquo;思想，深入观众心中。建立在此基础上的《武林外传》网络版，在祖龙工作室强大的技术实力支撑，以及宁财神的全力支持下，必将在暑期掀起新一轮网游风暴，带给玩家全新游戏体验。        </div>
      
      [查看详细]"
侠客OL,3D,写实,MANU,,武侠,即时,未确定,80,动作角色扮演,,《侠客OL》由《十二之天》系列开发商Manu公司研发，以中国明朝为背景，是款融合了成人元素和武侠元素的MMORPG。从公布的情报上来判断，该作以PK为主要玩法，包括野外PK、门派PK以及势力PK。
美丽世界2,3D,半写实,eSofnet,融鼎国际(大陆),奇幻,即时,道具收费,115,大型角色扮演,"游戏于2004年12月入库，
                  共3次测试","《美丽世界2》是韩国开发的一款现代都市风格3D客户端网游，游戏人物做出的动作可以从任何一个方向观看，坐、立、走、跑、跳这些基本动作做的是栩栩如生。游戏场景内的长椅，餐桌等道具也做得非常精细，玩家甚至可以直接坐在椅子上，围在餐桌边一起聊聊天，谈谈心，大...          
        <div>
          《美丽世界2》是韩国开发的一款现代都市风格3D客户端网游，游戏人物做出的动作可以从任何一个方向观看，坐、立、走、跑、跳这些基本动作做的是栩栩如生。游戏场景内的长椅，餐桌等道具也做得非常精细，玩家甚至可以直接坐在椅子上，围在餐桌边一起聊聊天，谈谈心，大有一种真实再现的感觉。        </div>
      
      [查看详细]"
星际公民,3D,写实,Roberts Space,Roberts Space(大陆),科幻,即时,道具收费,97,大型角色扮演,,《星际公民》不是传统意义上的网游，但是它的确拥有多人连线、开放的持续发展的世界、微交易以及完整的经济系统等网游的特点，当然你也可以玩单人任务。游戏的战斗场景适合60到100人，所以多人连线才能真正体验到“大场面”。
四大名捕,3D,半写实,中华网龙,游艺春秋(大陆),武侠,即时,未确定,123,大型角色扮演,"游戏于2013年05月入库，
                  共1次测试",《四大名捕3.0》（台服名：四大名捕OL）是由台湾中华网龙研发，改编自温瑞安的武侠小说系列作品《四大名捕》，游戏中将以作品中《会京师》系列为故事主轴。
火瀑,3D,半Q版,Red 5,,科幻,即时,道具收费,1069,第三人称射击,"游戏于2010年09月入库，
                  共5次测试",《火瀑》是Red 5工作室发布了全新的次世代作品。Red 5研发团队由原《魔兽世界(WOW)》以及《银河生死斗(Tribes)》的研发人员组成，《火瀑》为该研发团队的第一款游戏。
守护者2,3D,半写实,Studio Hon,盛大游戏(大陆),奇幻,即时,道具收费,69,动作角色扮演,,　　《Trinity》是款描述在崩溃的假想现实世界Emers中的人类和人工智能之间的对立的3D横版动作RPG。Emers作为游戏背景，是结合中世纪幻想和歌特恐怖、机甲等内容的世界，玩家可通过多种背景体验更为劲爆的动作。
坠星大陆,2.5D,半写实,酷游游戏,酷游游戏(大陆),玄幻,即时,道具收费,260,大型角色扮演,"游戏于2012年08月入库，
                  共4次测试",《坠星大陆》是酷游游戏基于《逆天》（已停运）开发的一款2.5D即时制仙侠网游。
TERA,3D,半写实,BlueHole,,奇幻,即时,其他(运营模式未定),6844,大型角色扮演,"游戏于2009年02月入库，
                  共5次测试",《TERA》是由韩国开发商Bluehole Studio开发的以神话世界和人类世界融合在一起的幻想世界观为基础，以动作性，画面为重要卖点的全新3DMMORPG。游戏采用独特技术将游戏战斗拟真化，不管是攻击的力道、方向、距离，与受到损伤的程度等，都强调真实感的呈现。
幻世封神,3D,半写实,武道数码,六月游戏(大陆),玄幻,即时,道具收费,87,大型角色扮演,"游戏于2016年06月入库，
                  共2次测试",《幻世封神》是六月网络代理的主打黑化修仙的3D角色扮演网游。以商朝为故事蓝图，采用自研引擎勾勒出高颜值的仙侠世界。独特的渡劫化魔，职业进阶爆发、全面PVP等玩法大大增加游戏的趣味可玩性。
神泣,3D,半写实,ChoiRockGames,17Game(大陆),奇幻,即时,道具收费,425,大型角色扮演,"游戏于2005年12月入库，
                  共1次测试","　　《shaiya》由韩国一线游戏大厂SONOKONG（孙悟空）耗时3年，斥资70亿韩元打造，是一款强调生死对抗的史诗级MMO-RPG。故事描述了女神伊泰安所创造的神之大地上，光之同盟与愤怒联合两大阵营，由于不同信仰所引发的战争。游戏一经推出，即在韩国国内引起巨大轰动和...          
        <div>
          　　《shaiya》由韩国一线游戏大厂SONOKONG（孙悟空）耗时3年，斥资70亿韩元打造，是一款强调生死对抗的史诗级MMO-RPG。故事描述了女神伊泰安所创造的神之大地上，光之同盟与愤怒联合两大阵营，由于不同信仰所引发的战争。游戏一经推出，即在韩国国内引起巨大轰动和广泛好评，被业内评论家誉为&ldquo;网络游戏中的艺术品&rdquo;。Naver（韩国最大通用搜索引擎）统计数据显示，仅在游戏内测期间，&ldquo;shaiya&rdquo;一词就凭借其在韩国玩家心目中的超高人气，一举登上关键字搜索排行榜首位。
　　为保证《shaiya》超一流游戏品质，开发商SONOKONG在制作上不惜血本，重金力邀韩国顶级画师全权负责游戏人设和CG绘制工作，精致而细腻的伊泰安女神形象堪称史上最完美女性典范。韩国知名剧作家一手打造具有宏大世界观的游戏剧本，血泪交织的英雄史诗比肩好莱坞一流大片。游戏9首主题音乐，由知名音乐制作人乔治奥得智(代表作《银河飞将》、《杀死比尔2》)于华纳专业制作室录制完成。众多大牌制作人的倾力加盟，为《shaiya》这一史诗级大作添上了璀璨星辉。
&nbsp;
        </div>
      
      [查看详细]"
方块战争,3D,Q版,Jagex,,现代,即时,道具收费,50,第一人称射击,,"《方块战争》是Jagex游戏公司推出的模拟像素图形画面的射击游戏，画面虽然看似简单，但却几乎包含了目前主流FPS网游中游戏模式，如爆破模式、占领模式、团队死亡竞赛模式和僵尸模式等等。与此同时，该游戏还提供了4种职业供玩家选择，包括：突击队员、神枪手、火箭兵...          
        <div>
          《方块战争》是Jagex游戏公司推出的模拟像素图形画面的射击游戏，画面虽然看似简单，但却几乎包含了目前主流FPS网游中游戏模式，如爆破模式、占领模式、团队死亡竞赛模式和僵尸模式等等。与此同时，该游戏还提供了4种职业供玩家选择，包括：突击队员、神枪手、火箭兵和矿工。        </div>
      
      [查看详细]"
魂之猎手,2D,半Q版,CJ E&M Games,,奇幻,即时,道具收费,1519,格斗,"游戏于2011年01月入库，
                  共5次测试","《魂之猎手》（曾用名：核心格斗，Mystic Fighter，Core Fight,代号H2）是由韩国Dadam GAME公司开发、CJ E&M netmarble公司（韩国）发行的一款2D动作游戏，腾讯游戏已正式宣布代理。MF采用魔幻风格，以架空世界观为背景。"
突击风暴2,3D,写实,NEXON,NEXON(韩国),现代,即时,未确定,186,第一人称射击,,《突击风暴2》为韩国NEXON旗下子公司NEXON GT研发并运营的FPS游戏，游戏为《突击风暴》的续作，在保持了前作打击感和快节奏的同时，由虚幻3引擎打造的画面也会给玩家心得体验。
天之炼狱2,2.5D,半写实,SOFTON,SOFTON(韩国),奇幻,即时,未确定,117,大型角色扮演,,"《天之炼狱2》为经典吸血鬼题材2D网游《天之炼狱》的续作，《天之炼狱2》继承前作世界观，采用前作经典俯视角，并以2.5D形式呈现。续作故事发生在前作200年以后的近现代社会，前作的三大种族之一魔灵消失，人类与吸血鬼对立，而核心内容便是围绕着两个种族展开的PVP...          
        <div>
          《天之炼狱2》为经典吸血鬼题材2D网游《天之炼狱》的续作，《天之炼狱2》继承前作世界观，采用前作经典俯视角，并以2.5D形式呈现。续作故事发生在前作200年以后的近现代社会，前作的三大种族之一魔灵消失，人类与吸血鬼对立，而核心内容便是围绕着两个种族展开的PVP战斗。        </div>
      
      [查看详细]"
神魔大陆,3D,半写实,完美世界,完美世界(大陆),奇幻,即时,道具收费,747,大型角色扮演,"游戏于2009年05月入库，
                  共6次测试","《神魔大陆》是由完美时空面向国际市场开发的网游作品，游戏采用奇幻游戏题材，开拓了多项创新，并引入了“玩家行为改变世界”全新理念。游戏架构了一个名为“克兰蒙多（Grand Mundo）”的奇幻世界，并拥有时间法则、空间法则、魔法、神等众多精...          
        <div>
          《神魔大陆》是由完美时空面向国际市场开发的网游作品，游戏采用奇幻游戏题材，开拓了多项创新，并引入了&ldquo;玩家行为改变世界&rdquo;全新理念。游戏架构了一个名为&ldquo;克兰蒙多（Grand Mundo）&rdquo;的奇幻世界，并拥有时间法则、空间法则、魔法、神等众多精彩元素。在庞大 世界观架构下独有编年史体系，使得服务器中的纪元年代、星辰运转、神祗诞生等核心游戏内容都能由玩家意志影响。        </div>
      
      [查看详细]"
街头足球,3D,半Q版,赛文游悦,天游(大陆),现代,即时,道具收费,40,体育,"游戏于2014年03月入库，
                  共1次测试","《街头足球》（曾用名:7K足球）是由上海天游软件有限公司代理的一款3D休闲竞技足球游戏。游戏人物采用街头嘻哈风格，以第三人称视角，突出个人在球场上技术和个性的展示，以及在团队协作中获得成长的成就感。玩家可以在游戏内选择前锋、中场、后卫等不同的位置（目前...          
        <div>
          《街头足球》（曾用名:7K足球）是由上海天游软件有限公司代理的一款3D休闲竞技足球游戏。游戏人物采用街头嘻哈风格，以第三人称视角，突出个人在球场上技术和个性的展示，以及在团队协作中获得成长的成就感。玩家可以在游戏内选择前锋、中场、后卫等不同的位置（目前只开放3个基础职业），各个位置有着不同的数值属性和成长通道。游戏根据玩家间的实力进行组队的自动匹配比赛，游戏模式包括4V4匹配，友谊赛等。游戏拥有多种的赛制包括各级联赛等等（后续计划开放），除此之外，还有时装，俱乐部等休闲的玩法。        </div>
      
      [查看详细]"
格斗联盟,3D,写实,KOG,畅游(大陆),科幻,即时,道具收费,151,格斗,"游戏于2009年04月入库，
                  共1次测试","《格斗联盟》是畅游代理的一款由韩国KOG研发的未来都市3D超凡格斗ACT网游。KOG曾成功开发著名动作游戏《艾尔之光》、《永恒冒险》。《格斗联盟》采用美式漫画画风，以写实的动作打击感和丰富的副本战斗玩法为核心，讲述暴力街区超凡英雄的格斗传奇。游戏独特的上下段...          
        <div>
          《格斗联盟》是畅游代理的一款由韩国KOG研发的未来都市3D超凡格斗ACT网游。KOG曾成功开发著名动作游戏《艾尔之光》、《永恒冒险》。《格斗联盟》采用美式漫画画风，以写实的动作打击感和丰富的副本战斗玩法为核心，讲述暴力街区超凡英雄的格斗传奇。游戏独特的上下段攻防判定，抓取、冲刺、空中连击的流畅连招体系，带来极致爽快的超凡格斗操作体验。而塔防、对战、组队、变身等丰富的闯关玩法，也能够让玩家回味最经典的单机闯关乐趣。        </div>
      
      [查看详细]"
天空之城,3D,半写实,极光互动,极光互动(大陆),玄幻,即时,道具收费,6327,大型角色扮演,"游戏于2012年06月入库，
                  共6次测试",《天空之城》是北京极光互动自主研发的3D战斗冒险网游。游戏由原NCSOFT主美带队制作游戏画面，以战斗变身、图鉴探索升级为核心玩法。
艾尔之光,3D,Q版,KOG,巨人网络(大陆),奇幻,即时,道具收费,529,大型角色扮演,"游戏于2007年04月入库，
                  共5次测试","《艾尔之光》（英文名《ELSWORD》），由韩国KOG公司研发的3D横版动作游戏，由巨人网络代理。《艾尔之光》采用了2D游戏界面和3D游戏场景相配合，漫画方式呈现战斗，兼具了爽快的操作感与出众的节奏感。简单的动作、华丽连招、诸多闯关任务等要素集合，让游戏过程更加...          
        <div>
          《艾尔之光》（英文名《ELSWORD》），由韩国KOG公司研发的3D横版动作游戏，由巨人网络代理。《艾尔之光》采用了2D游戏界面和3D游戏场景相配合，漫画方式呈现战斗，兼具了爽快的操作感与出众的节奏感。简单的动作、华丽连招、诸多闯关任务等要素集合，让游戏过程更加刺激有趣。        </div>
      
      [查看详细]"
ZERA,3D,半写实,NEXON,,奇幻,即时,道具收费,134,大型角色扮演,,　　《Zera》是一款大型3D MMORPG网游，在韩国休闲游戏领域占据桥头堡的Nexon公司欲借此作正式进军MMORPG，业界人士称，如果Nexon能在《Zera》取得成功，则有可能挤掉霸主NCsoft。　　　　《Zera》一改Nexon贯用的卡哇依风格，趋于写实之中又充满幻想。
绝对火力,3D,写实,网龙公司,网龙公司(大陆),现代,即时,道具收费,244,第三人称射击,"游戏于2010年08月入库，
                  共3次测试",《绝对火力》（AF）是网龙以虚幻3引擎研发的（FPS/TPS）双视角战斗的枪战网游，游戏描述现代社会背景下，两股武装力量在世界范围内的冲突和对抗；游戏的AVATAR变装系统能够为玩家打造极致的个性武装。
古羌传奇,3D,半写实,武道数码,武道数码(大陆),玄幻,即时,道具收费,963,大型角色扮演,"游戏于2013年12月入库，
                  共8次测试",《古羌传奇》是武道数码自主研发运营的3D传奇之作。游戏以发烧PK为核心玩法，技能和双天赋的搭配提高了游戏PK玩法可玩性。游戏轻松满级上线开干，装备副本全掉落，拥有25种PK玩法、数十余种传奇BOSS以及攻城战。
新水浒Q传,2D,Q版,火石软件,畅游(大陆),武侠,回合,道具收费,1451,大型角色扮演,"游戏于2009年11月入库，
                  共7次测试",《新水浒Q传》（大话水浒）是由搜狐畅游运营的一款2D回合网游，游戏以《水浒传》为剧情蓝本，结合历史和人文背景，将原著小说中的英雄故事以幽默、轻松的手法表现出来，构建了一个宏大而细腻的虚拟世界。
